Orthogroup	Duplications (all)	Duplications (50% support)
OG0003466	1	0
OG0003467	1	1
OG0003468	1	1
OG0003469	5	2
OG0003470	1	1
OG0003471	2	1
OG0003472	1	1
OG0003473	1	0
OG0003474	1	1
OG0003475	1	1
OG0003476	2	0
OG0003477	1	1
OG0003478	2	2
OG0003479	0	0
OG0003480	1	1
OG0003481	1	1
OG0003482	1	0
OG0003483	5	4
OG0003484	2	1
OG0003485	1	1
OG0003486	2	1
OG0003487	2	2
OG0003488	1	1
OG0003489	1	1
OG0003490	1	1
OG0003491	1	1
OG0003492	3	2
OG0003493	1	0
OG0003494	1	0
OG0003495	1	0
OG0003496	3	3
OG0003497	1	0
OG0003498	1	1
OG0003499	1	1
OG0003500	1	1
OG0003501	1	1
OG0003502	2	0
OG0003503	1	0
OG0003504	1	1
OG0003505	1	1
OG0003506	1	1
OG0003507	1	1
OG0003508	4	0
OG0003509	1	1
OG0003510	3	3
OG0003511	0	0
OG0003512	1	1
OG0003513	1	0
OG0003514	1	0
OG0003515	1	1
OG0003516	1	1
OG0003517	2	2
OG0003518	0	0
OG0003519	1	0
OG0003520	1	1
OG0003521	2	2
OG0003522	1	1
OG0003523	1	1
OG0003524	1	1
OG0003525	1	1
OG0003526	1	0
OG0003527	1	1
OG0003528	1	1
OG0003529	1	1
OG0003530	1	1
OG0003531	1	1
OG0003532	0	0
OG0003533	15	5
OG0003534	1	1
OG0003535	1	0
OG0003536	1	1
OG0003537	2	2
OG0003538	2	0
OG0003539	1	1
OG0003540	14	6
OG0003541	1	1
OG0003542	1	1
OG0003543	1	1
OG0003544	2	1
OG0003545	2	2
OG0003546	1	1
OG0003547	1	1
OG0003548	1	1
OG0003549	1	0
OG0003550	1	1
OG0003551	1	0
OG0003552	1	1
OG0003553	1	1
OG0003554	1	1
OG0003555	36	24
OG0003556	2	2
OG0003557	1	1
OG0003558	2	0
OG0003559	1	1
OG0003560	1	1
OG0003561	2	0
OG0003562	2	2
OG0003563	1	1
OG0003564	1	1
OG0003565	2	2
OG0003566	1	1
OG0003567	1	1
OG0003568	1	1
OG0003569	1	1
OG0003570	2	2
OG0003571	4	0
OG0003572	1	1
OG0003573	1	0
OG0003574	1	0
OG0003575	1	1
OG0003576	1	1
OG0003577	1	1
OG0003578	1	0
OG0003579	2	2
OG0003580	3	2
OG0003581	2	2
OG0003582	1	1
OG0003583	1	1
OG0003584	1	1
OG0003585	1	1
OG0003586	1	1
OG0003587	1	0
OG0003588	1	1
OG0003589	2	2
OG0003590	0	0
OG0003591	1	1
OG0003592	2	2
OG0003593	1	1
OG0003594	1	1
OG0003595	1	0
OG0003596	1	1
OG0003597	1	1
OG0003598	2	1
OG0003599	2	2
OG0003600	4	2
OG0003601	1	1
OG0003602	1	1
OG0003603	1	1
OG0003604	0	0
OG0003605	0	0
OG0003606	3	2
OG0003607	1	1
OG0003608	1	1
OG0003609	3	1
OG0003610	1	1
OG0003611	1	1
OG0003612	1	1
OG0003613	2	2
OG0003614	1	1
OG0003615	4	3
OG0003616	1	1
OG0003617	2	2
OG0003618	1	1
OG0003619	2	2
OG0003620	1	0
OG0003621	0	0
OG0003622	2	2
OG0003623	7	2
OG0003624	1	1
OG0003625	1	1
OG0003626	1	1
OG0003627	1	1
OG0003628	0	0
OG0003629	1	1
OG0003630	1	1
OG0003631	1	1
OG0003632	3	2
OG0003633	1	1
OG0003634	1	1
OG0003635	2	1
OG0003636	6	3
OG0003637	1	1
OG0003638	1	1
OG0003639	1	0
OG0003640	3	2
OG0003641	2	0
OG0003642	2	1
OG0003643	1	1
OG0003644	1	1
OG0003645	1	0
OG0003646	0	0
OG0003647	2	2
OG0003648	0	0
OG0003649	1	1
OG0003650	3	0
OG0003651	0	0
OG0003652	2	2
OG0003653	1	1
OG0003654	1	1
OG0003655	1	1
OG0003656	2	2
OG0003657	5	3
OG0003658	1	1
OG0003659	1	1
OG0003660	2	2
OG0003661	1	1
OG0003662	1	1
OG0003663	1	1
OG0003664	1	1
OG0003665	1	1
OG0003666	1	1
OG0003667	1	1
OG0003668	1	1
OG0003669	2	2
OG0003670	1	1
OG0003671	1	1
OG0003672	1	0
OG0003673	2	1
OG0003674	1	0
OG0003675	1	1
OG0003676	2	1
OG0003677	1	0
OG0003678	1	0
OG0003679	1	0
OG0003680	1	1
OG0003681	1	1
OG0003682	1	1
OG0003683	1	1
OG0003684	1	1
OG0003685	1	1
OG0003686	1	1
OG0003687	1	1
OG0003688	1	1
OG0003689	2	2
OG0003690	3	1
OG0003691	1	1
OG0003692	1	1
OG0003693	2	2
OG0003694	1	1
OG0003695	1	1
OG0003696	4	4
OG0003697	2	1
OG0003698	1	1
OG0003699	1	1
OG0003700	1	1
OG0003701	1	1
OG0003702	2	2
OG0003703	0	0
OG0003704	1	1
OG0003705	1	1
OG0003706	2	2
OG0003707	2	2
OG0003708	3	3
OG0003709	3	1
OG0003710	1	1
OG0003711	1	1
OG0003712	2	1
OG0003713	1	1
OG0003714	1	1
OG0003715	1	1
OG0003716	2	2
OG0003717	2	0
OG0003718	1	1
OG0003719	1	0
OG0003720	0	0
OG0003721	1	0
OG0003722	1	0
OG0003723	2	2
OG0003724	2	2
OG0003725	1	1
OG0003726	1	1
OG0003727	1	1
OG0003728	1	1
OG0003729	1	1
OG0003730	2	1
OG0003731	1	1
OG0003732	1	0
OG0003733	1	1
OG0003734	2	1
OG0003735	1	1
OG0003736	1	1
OG0003737	1	1
OG0003738	1	1
OG0003739	1	1
OG0003740	1	0
OG0003741	1	1
OG0003742	1	1
OG0003743	1	1
OG0003744	1	1
OG0003745	3	3
OG0003746	1	1
OG0003747	3	2
OG0003748	3	3
OG0003749	1	1
OG0003750	2	1
OG0003751	1	1
OG0003752	1	1
OG0003753	0	0
OG0003754	1	1
OG0003755	2	2
OG0003756	1	0
OG0003757	1	1
OG0003758	3	2
OG0003759	1	1
OG0003760	1	1
OG0003761	3	1
OG0003762	1	1
OG0003763	2	1
OG0003764	1	1
OG0003765	2	2
OG0003766	1	0
OG0003767	1	1
OG0003768	1	1
OG0003769	1	1
OG0003770	2	1
OG0003771	2	1
OG0003772	1	1
OG0003773	0	0
OG0003774	1	1
OG0003775	1	1
OG0003776	1	1
OG0003777	1	0
OG0003778	1	1
OG0003779	2	2
OG0003780	1	1
OG0003781	1	1
OG0003782	1	1
OG0003783	2	2
OG0003784	6	3
OG0003785	1	1
OG0003786	1	1
OG0003787	1	0
OG0003788	3	1
OG0003789	1	1
OG0003790	1	1
OG0003791	1	1
OG0003792	1	1
OG0003793	2	2
OG0003794	1	1
OG0003795	1	1
OG0003796	2	2
OG0003797	2	1
OG0003798	0	0
OG0003799	1	1
OG0003800	1	1
OG0003801	5	5
OG0003802	1	1
OG0003803	1	1
OG0003804	1	1
OG0003805	8	6
OG0003806	1	0
OG0003807	1	1
OG0003808	1	1
OG0003809	1	1
OG0003810	1	1
OG0003811	2	1
OG0003812	1	1
OG0003813	1	1
OG0003814	1	1
OG0003815	3	2
OG0003816	1	0
OG0003817	2	2
OG0003818	2	2
OG0003819	2	1
OG0003820	1	1
OG0003821	1	1
OG0003822	1	0
OG0003823	1	1
OG0003824	2	2
OG0003825	2	2
OG0003826	1	1
OG0003827	1	1
OG0003828	1	1
OG0003829	1	0
OG0003830	1	0
OG0003831	1	0
OG0003832	1	1
OG0003833	1	1
OG0003834	1	1
OG0003835	1	1
OG0003836	1	1
OG0003837	6	4
OG0003838	1	1
OG0003839	1	1
OG0003840	1	0
OG0003841	3	3
OG0003842	2	2
OG0003843	2	2
OG0003844	1	1
OG0003845	1	0
OG0003846	3	2
OG0003847	1	1
OG0003848	1	1
OG0003849	2	1
OG0003850	1	1
OG0003851	1	1
OG0003852	1	1
OG0003853	2	1
OG0003854	2	2
OG0003855	1	0
OG0003856	9	2
OG0003857	5	2
OG0003858	3	1
OG0003859	9	6
OG0003860	8	2
OG0003861	1	1
OG0003862	1	0
OG0003863	8	5
OG0003864	10	5
OG0003865	8	2
OG0003866	4	1
OG0003867	2	1
OG0003868	18	2
OG0003869	21	8
OG0003870	14	6
OG0003871	3	1
OG0003872	10	8
OG0003873	7	4
OG0003874	9	2
OG0003875	0	0
OG0003876	0	0
OG0003877	1	1
OG0003878	0	0
OG0003879	2	2
OG0003880	0	0
OG0003881	0	0
OG0003882	3	3
OG0003883	0	0
OG0003884	0	0
OG0003885	0	0
OG0003886	0	0
OG0003887	1	0
OG0003888	0	0
OG0003889	0	0
OG0003890	1	1
OG0003891	0	0
OG0003892	0	0
OG0003893	0	0
OG0003894	0	0
OG0003895	0	0
OG0003896	1	1
OG0003897	1	1
OG0003898	2	2
OG0003899	1	1
OG0003900	0	0
OG0003901	0	0
OG0003902	0	0
OG0003903	0	0
OG0003904	1	1
OG0003905	0	0
OG0003906	1	0
OG0003907	0	0
OG0003908	1	1
OG0003909	0	0
OG0003910	0	0
OG0003911	1	0
OG0003912	0	0
OG0003913	1	1
OG0003914	0	0
OG0003915	2	2
OG0003916	3	2
OG0003917	3	3
OG0003918	2	1
OG0003919	2	1
OG0003920	0	0
OG0003921	2	0
OG0003922	0	0
OG0003923	0	0
OG0003924	0	0
OG0003925	0	0
OG0003926	0	0
OG0003927	0	0
OG0003928	0	0
OG0003929	1	1
OG0003930	0	0
OG0003931	0	0
OG0003932	0	0
OG0003933	0	0
OG0003934	1	1
OG0003935	1	0
OG0003936	0	0
OG0003937	0	0
OG0003938	0	0
OG0003939	2	2
OG0003940	0	0
OG0003941	1	1
OG0003942	0	0
OG0003943	0	0
OG0003944	1	0
OG0003945	1	1
OG0003946	2	2
OG0003947	1	1
OG0003948	0	0
OG0003949	0	0
OG0003950	0	0
OG0003951	0	0
OG0003952	1	1
OG0003953	1	1
OG0003954	2	1
OG0003955	1	1
OG0003956	0	0
OG0003957	0	0
OG0003958	1	0
OG0003959	1	1
OG0003960	0	0
OG0003961	0	0
OG0003962	0	0
OG0003963	0	0
OG0003964	1	1
OG0003965	0	0
OG0003966	0	0
OG0003967	0	0
OG0003968	0	0
OG0003969	2	1
OG0003970	0	0
OG0003971	0	0
OG0003972	0	0
OG0003973	0	0
OG0003974	0	0
OG0003975	0	0
OG0003976	0	0
OG0003977	1	1
OG0003978	1	1
OG0003979	0	0
OG0003980	2	2
OG0003981	0	0
OG0003982	1	0
OG0003983	0	0
OG0003984	0	0
OG0003985	0	0
OG0003986	1	1
OG0003987	0	0
OG0003988	0	0
OG0003989	1	1
OG0003990	2	2
OG0003991	0	0
OG0003992	0	0
OG0003993	0	0
OG0003994	0	0
OG0003995	0	0
OG0003996	0	0
OG0003997	0	0
OG0003998	0	0
OG0003999	2	1
OG0004000	1	1
OG0004001	0	0
OG0004002	1	1
OG0004003	0	0
OG0004004	2	2
OG0004005	0	0
OG0004006	3	1
OG0004007	0	0
OG0004008	1	1
OG0004009	0	0
OG0004010	7	3
OG0004011	0	0
OG0004012	0	0
OG0004013	0	0
OG0004014	0	0
OG0004015	4	3
OG0004016	1	1
OG0004017	1	1
OG0004018	0	0
OG0004019	1	0
OG0004020	0	0
OG0004021	2	2
OG0004022	0	0
OG0004023	0	0
OG0004024	0	0
OG0004025	1	0
OG0004026	0	0
OG0004027	0	0
OG0004028	0	0
OG0004029	0	0
OG0004030	0	0
OG0004031	0	0
OG0004032	0	0
OG0004033	0	0
OG0004034	0	0
OG0004035	0	0
OG0004036	1	1
OG0004037	6	6
OG0004038	1	0
OG0004039	0	0
OG0004040	0	0
OG0004041	0	0
OG0004042	0	0
OG0004043	0	0
OG0004044	0	0
OG0004045	1	1
OG0004046	1	1
OG0004047	0	0
OG0004048	1	1
OG0004049	0	0
OG0004050	0	0
OG0004051	0	0
OG0004052	0	0
OG0004053	0	0
OG0004054	0	0
OG0004055	0	0
OG0004056	0	0
OG0004057	0	0
OG0004058	0	0
OG0004059	2	2
OG0004060	1	1
OG0004061	0	0
OG0004062	1	1
OG0004063	1	1
OG0004064	0	0
OG0004065	0	0
OG0004066	1	1
OG0004067	0	0
OG0004068	0	0
OG0004069	1	0
OG0004070	0	0
OG0004071	0	0
OG0004072	3	2
OG0004073	4	2
OG0004074	0	0
OG0004075	1	0
OG0004076	1	1
OG0004077	0	0
OG0004078	0	0
OG0004079	0	0
OG0004080	0	0
OG0004081	0	0
OG0004082	0	0
OG0004083	2	2
OG0004084	0	0
OG0004085	1	0
OG0004086	0	0
OG0004087	0	0
OG0004088	0	0
OG0004089	0	0
OG0004090	0	0
OG0004091	0	0
OG0004092	0	0
OG0004093	1	0
OG0004094	0	0
OG0004095	0	0
OG0004096	0	0
OG0004097	0	0
OG0004098	2	1
OG0004099	1	1
OG0004100	0	0
OG0004101	0	0
OG0004102	1	1
OG0004103	0	0
OG0004104	0	0
OG0004105	0	0
OG0004106	1	1
OG0004107	0	0
OG0004108	0	0
OG0004109	1	1
OG0004110	0	0
OG0004111	2	1
OG0004112	1	1
OG0004113	0	0
OG0004114	0	0
OG0004115	0	0
OG0004116	1	0
OG0004117	0	0
OG0004118	1	0
OG0004119	0	0
OG0004120	0	0
OG0004121	0	0
OG0004122	0	0
OG0004123	0	0
OG0004124	0	0
OG0004125	0	0
OG0004126	0	0
OG0004127	0	0
OG0004128	0	0
OG0004129	0	0
OG0004130	1	1
OG0004131	0	0
OG0004132	0	0
OG0004133	0	0
OG0004134	0	0
OG0004135	1	1
OG0004136	0	0
OG0004137	0	0
OG0004138	0	0
OG0004139	0	0
OG0004140	0	0
OG0004141	0	0
OG0004142	1	0
OG0004143	0	0
OG0004144	1	1
OG0004145	0	0
OG0004146	1	1
OG0004147	0	0
OG0004148	0	0
OG0004149	0	0
OG0004150	0	0
OG0004151	0	0
OG0004152	0	0
OG0004153	1	1
OG0004154	0	0
OG0004155	1	1
OG0004156	0	0
OG0004157	0	0
OG0004158	1	1
OG0004159	0	0
OG0004160	0	0
OG0004161	0	0
OG0004162	3	3
OG0004163	0	0
OG0004164	2	1
OG0004165	1	0
OG0004166	0	0
OG0004167	0	0
OG0004168	0	0
OG0004169	0	0
OG0004170	0	0
OG0004171	0	0
OG0004172	1	1
OG0004173	1	1
OG0004174	1	1
OG0004175	1	1
OG0004176	1	1
OG0004177	0	0
OG0004178	0	0
OG0004179	1	1
OG0004180	0	0
OG0004181	0	0
OG0004182	0	0
OG0004183	0	0
OG0004184	0	0
OG0004185	0	0
OG0004186	1	1
OG0004187	0	0
OG0004188	3	0
OG0004189	0	0
OG0004190	0	0
OG0004191	0	0
OG0004192	2	2
OG0004193	0	0
OG0004194	1	1
OG0004195	0	0
OG0004196	0	0
OG0004197	0	0
OG0004198	0	0
OG0004199	0	0
OG0004200	1	1
OG0004201	0	0
OG0004202	0	0
OG0004203	3	3
OG0004204	0	0
OG0004205	0	0
OG0004206	0	0
OG0004207	0	0
OG0004208	1	1
OG0004209	1	0
OG0004210	2	2
OG0004211	0	0
OG0004212	0	0
OG0004213	0	0
OG0004214	0	0
OG0004215	0	0
OG0004216	0	0
OG0004217	0	0
OG0004218	0	0
OG0004219	1	1
OG0004220	0	0
OG0004221	0	0
OG0004222	1	1
OG0004223	0	0
OG0004224	0	0
OG0004225	1	1
OG0004226	2	2
OG0004227	1	1
OG0004228	1	1
OG0004229	2	2
OG0004230	0	0
OG0004231	0	0
OG0004232	0	0
OG0004233	2	1
OG0004234	0	0
OG0004235	0	0
OG0004236	1	1
OG0004237	0	0
OG0004238	0	0
OG0004239	1	1
OG0004240	0	0
OG0004241	0	0
OG0004242	0	0
OG0004243	0	0
OG0004244	2	2
OG0004245	0	0
OG0004246	0	0
OG0004247	0	0
OG0004248	0	0
OG0004249	0	0
OG0004250	0	0
OG0004251	0	0
OG0004252	0	0
OG0004253	0	0
OG0004254	0	0
OG0004255	0	0
OG0004256	0	0
OG0004257	0	0
OG0004258	0	0
OG0004259	2	1
OG0004260	1	1
OG0004261	0	0
OG0004262	0	0
OG0004263	1	1
OG0004264	1	1
OG0004265	0	0
OG0004266	3	2
OG0004267	1	0
OG0004268	1	1
OG0004269	0	0
OG0004270	1	1
OG0004271	0	0
OG0004272	1	1
OG0004273	6	1
OG0004274	0	0
OG0004275	0	0
OG0004276	0	0
OG0004277	0	0
OG0004278	0	0
OG0004279	0	0
OG0004280	0	0
OG0004281	0	0
OG0004282	0	0
OG0004283	0	0
OG0004284	2	0
OG0004285	0	0
OG0004286	2	1
OG0004287	0	0
OG0004288	0	0
OG0004289	0	0
OG0004290	2	1
OG0004291	0	0
OG0004292	0	0
OG0004293	1	1
OG0004294	0	0
OG0004295	0	0
OG0004296	0	0
OG0004297	1	1
OG0004298	0	0
OG0004299	1	1
OG0004300	0	0
OG0004301	1	1
OG0004302	0	0
OG0004303	0	0
OG0004304	2	2
OG0004305	1	1
OG0004306	0	0
OG0004307	0	0
OG0004308	0	0
OG0004309	1	0
OG0004310	0	0
OG0004311	0	0
OG0004312	0	0
OG0004313	0	0
OG0004314	0	0
OG0004315	1	1
OG0004316	0	0
OG0004317	0	0
OG0004318	0	0
OG0004319	0	0
OG0004320	1	1
OG0004321	0	0
OG0004322	0	0
OG0004323	0	0
OG0004324	0	0
OG0004325	1	1
OG0004326	0	0
OG0004327	0	0
OG0004328	0	0
OG0004329	0	0
OG0004330	1	1
OG0004331	1	1
OG0004332	0	0
OG0004333	1	1
OG0004334	1	1
OG0004335	0	0
OG0004336	4	4
OG0004337	0	0
OG0004338	0	0
OG0004339	1	0
OG0004340	0	0
OG0004341	9	5
OG0004342	1	1
OG0004343	0	0
OG0004344	0	0
OG0004345	0	0
OG0004346	1	1
OG0004347	2	2
OG0004348	0	0
OG0004349	0	0
OG0004350	0	0
OG0004351	0	0
OG0004352	0	0
OG0004353	0	0
OG0004354	0	0
OG0004355	0	0
OG0004356	0	0
OG0004357	1	1
OG0004358	0	0
OG0004359	3	1
OG0004360	0	0
OG0004361	0	0
OG0004362	1	1
OG0004363	2	0
OG0004364	0	0
OG0004365	1	1
OG0004366	0	0
OG0004367	2	1
OG0004368	0	0
OG0004369	0	0
OG0004370	0	0
OG0004371	0	0
OG0004372	0	0
OG0004373	1	0
OG0004374	0	0
OG0004375	0	0
OG0004376	2	1
OG0004377	0	0
OG0004378	0	0
OG0004379	2	1
OG0004380	0	0
OG0004381	0	0
OG0004382	0	0
OG0004383	0	0
OG0004384	1	1
OG0004385	0	0
OG0004386	0	0
OG0004387	1	1
OG0004388	0	0
OG0004389	0	0
OG0004390	2	0
OG0004391	0	0
OG0004392	4	3
OG0004393	0	0
OG0004394	0	0
OG0004395	2	2
OG0004396	1	1
OG0004397	1	1
OG0004398	0	0
OG0004399	1	1
OG0004400	0	0
OG0004401	0	0
OG0004402	0	0
OG0004403	1	1
OG0004404	0	0
OG0004405	0	0
OG0004406	0	0
OG0004407	0	0
OG0004408	4	2
OG0004409	0	0
OG0004410	0	0
OG0004411	0	0
OG0004412	1	0
OG0004413	0	0
OG0004414	0	0
OG0004415	0	0
OG0004416	3	3
OG0004417	1	1
OG0004418	0	0
OG0004419	0	0
OG0004420	1	1
OG0004421	0	0
OG0004422	0	0
OG0004423	1	1
OG0004424	0	0
OG0004425	0	0
OG0004426	0	0
OG0004427	0	0
OG0004428	0	0
OG0004429	0	0
OG0004430	0	0
OG0004431	0	0
OG0004432	0	0
OG0004433	0	0
OG0004434	1	1
OG0004435	0	0
OG0004436	0	0
OG0004437	0	0
OG0004438	3	3
OG0004439	3	1
OG0004440	2	1
OG0004441	0	0
OG0004442	0	0
OG0004443	0	0
OG0004444	1	0
OG0004445	0	0
OG0004446	3	3
OG0004447	0	0
OG0004448	0	0
OG0004449	0	0
OG0004450	0	0
OG0004451	0	0
OG0004452	1	1
OG0004453	0	0
OG0004454	0	0
OG0004455	0	0
OG0004456	1	1
OG0004457	1	1
OG0004458	0	0
OG0004459	3	2
OG0004460	0	0
OG0004461	0	0
OG0004462	0	0
OG0004463	0	0
OG0004464	0	0
OG0004465	1	0
OG0004466	1	1
OG0004467	0	0
OG0004468	0	0
OG0004469	0	0
OG0004470	0	0
OG0004471	1	1
OG0004472	0	0
OG0004473	0	0
OG0004474	1	0
OG0004475	0	0
OG0004476	1	0
OG0004477	0	0
OG0004478	0	0
OG0004479	0	0
OG0004480	0	0
OG0004481	0	0
OG0004482	0	0
OG0004483	0	0
OG0004484	0	0
OG0004485	0	0
OG0004486	0	0
OG0004487	0	0
OG0004488	0	0
OG0004489	0	0
OG0004490	1	1
OG0004491	1	1
OG0004492	0	0
OG0004493	0	0
OG0004494	0	0
OG0004495	1	1
OG0004496	0	0
OG0004497	1	0
OG0004498	1	1
OG0004499	0	0
OG0004500	0	0
OG0004501	0	0
OG0004502	0	0
OG0004503	1	1
OG0004504	0	0
OG0004505	2	2
OG0004506	0	0
OG0004507	1	1
OG0004508	0	0
OG0004509	0	0
OG0004510	1	0
OG0004511	0	0
OG0004512	0	0
OG0004513	0	0
OG0004514	0	0
OG0004515	2	2
OG0004516	0	0
OG0004517	0	0
OG0004518	0	0
OG0004519	3	2
OG0004520	2	1
OG0004521	0	0
OG0004522	0	0
OG0004523	0	0
OG0004524	1	1
OG0004525	1	1
OG0004526	0	0
OG0004527	2	2
OG0004528	1	1
OG0004529	4	4
OG0004530	0	0
OG0004531	0	0
OG0004532	0	0
OG0004533	0	0
OG0004534	0	0
OG0004535	0	0
OG0004536	0	0
OG0004537	0	0
OG0004538	0	0
OG0004539	2	1
OG0004540	0	0
OG0004541	0	0
OG0004542	0	0
OG0004543	0	0
OG0004544	0	0
OG0004545	0	0
OG0004546	0	0
OG0004547	0	0
OG0004548	0	0
OG0004549	0	0
OG0004550	0	0
OG0004551	0	0
OG0004552	0	0
OG0004553	0	0
OG0004554	0	0
OG0004555	1	1
OG0004556	1	0
OG0004557	0	0
OG0004558	0	0
OG0004559	0	0
OG0004560	8	6
OG0004561	0	0
OG0004562	2	0
OG0004563	3	2
OG0004564	0	0
OG0004565	0	0
OG0004566	0	0
OG0004567	0	0
OG0004568	0	0
OG0004569	0	0
OG0004570	0	0
OG0004571	1	0
OG0004572	1	1
OG0004573	0	0
OG0004574	1	1
OG0004575	1	0
OG0004576	0	0
OG0004577	0	0
OG0004578	0	0
OG0004579	0	0
OG0004580	0	0
OG0004581	0	0
OG0004582	1	1
OG0004583	1	1
OG0004584	1	1
OG0004585	0	0
OG0004586	0	0
OG0004587	0	0
OG0004588	0	0
OG0004589	17	7
OG0004590	0	0
OG0004591	0	0
OG0004592	1	1
OG0004593	0	0
OG0004594	1	1
OG0004595	0	0
OG0004596	1	1
OG0004597	1	1
OG0004598	1	1
OG0004599	0	0
OG0004600	0	0
OG0004601	0	0
OG0004602	3	3
OG0004603	0	0
OG0004604	0	0
OG0004605	1	1
OG0004606	0	0
OG0004607	1	1
OG0004608	0	0
OG0004609	0	0
OG0004610	0	0
OG0004611	1	1
OG0004612	0	0
OG0004613	0	0
OG0004614	1	1
OG0004615	0	0
OG0004616	0	0
OG0004617	1	1
OG0004618	0	0
OG0004619	0	0
OG0004620	1	0
OG0004621	1	1
OG0004622	0	0
OG0004623	0	0
OG0004624	1	1
OG0004625	0	0
OG0004626	4	3
OG0004627	1	1
OG0004628	0	0
OG0004629	0	0
OG0004630	0	0
OG0004631	3	3
OG0004632	0	0
OG0004633	0	0
OG0004634	0	0
OG0004635	0	0
OG0004636	1	0
OG0004637	2	1
OG0004638	0	0
OG0004639	0	0
OG0004640	0	0
OG0004641	0	0
OG0004642	0	0
OG0004643	0	0
OG0004644	2	2
OG0004645	0	0
OG0004646	4	3
OG0004647	0	0
OG0004648	1	1
OG0004649	0	0
OG0004650	0	0
OG0004651	1	1
OG0004652	0	0
OG0004653	2	1
OG0004654	0	0
OG0004655	1	1
OG0004656	0	0
OG0004657	1	1
OG0004658	0	0
OG0004659	0	0
OG0004660	2	2
OG0004661	0	0
OG0004662	4	0
OG0004663	1	0
OG0004664	0	0
OG0004665	0	0
OG0004666	0	0
OG0004667	0	0
OG0004668	0	0
OG0004669	0	0
OG0004670	1	1
OG0004671	0	0
OG0004672	0	0
OG0004673	0	0
OG0004674	1	1
OG0004675	0	0
OG0004676	4	3
OG0004677	3	3
OG0004678	0	0
OG0004679	0	0
OG0004680	1	0
OG0004681	0	0
OG0004682	0	0
OG0004683	0	0
OG0004684	0	0
OG0004685	0	0
OG0004686	2	2
OG0004687	0	0
OG0004688	1	0
OG0004689	0	0
OG0004690	0	0
OG0004691	0	0
OG0004692	0	0
OG0004693	1	1
OG0004694	0	0
OG0004695	0	0
OG0004696	0	0
OG0004697	0	0
OG0004698	0	0
OG0004699	2	0
OG0004700	2	2
OG0004701	0	0
OG0004702	0	0
OG0004703	0	0
OG0004704	0	0
OG0004705	0	0
OG0004706	0	0
OG0004707	0	0
OG0004708	0	0
OG0004709	0	0
OG0004710	0	0
OG0004711	0	0
OG0004712	0	0
OG0004713	0	0
OG0004714	0	0
OG0004715	0	0
OG0004716	2	1
OG0004717	1	1
OG0004718	0	0
OG0004719	2	1
OG0004720	0	0
OG0004721	1	1
OG0004722	0	0
OG0004723	0	0
OG0004724	0	0
OG0004725	0	0
OG0004726	0	0
OG0004727	0	0
OG0004728	0	0
OG0004729	0	0
OG0004730	0	0
OG0004731	0	0
OG0004732	0	0
OG0004733	0	0
OG0004734	0	0
OG0004735	0	0
OG0004736	1	1
OG0004737	0	0
OG0004738	0	0
OG0004739	1	0
OG0004740	0	0
OG0004741	0	0
OG0004742	0	0
OG0004743	1	1
OG0004744	0	0
OG0004745	0	0
OG0004746	0	0
OG0004747	0	0
OG0004748	1	1
OG0004749	0	0
OG0004750	1	1
OG0004751	0	0
OG0004752	0	0
OG0004753	0	0
OG0004754	0	0
OG0004755	0	0
OG0004756	0	0
OG0004757	0	0
OG0004758	0	0
OG0004759	0	0
OG0004760	0	0
OG0004761	0	0
OG0004762	0	0
OG0004763	0	0
OG0004764	1	1
OG0004765	0	0
OG0004766	0	0
OG0004767	2	1
OG0004768	0	0
OG0004769	1	0
OG0004770	1	1
OG0004771	0	0
OG0004772	0	0
OG0004773	0	0
OG0004774	0	0
OG0004775	0	0
OG0004776	0	0
OG0004777	0	0
OG0004778	1	1
OG0004779	1	0
OG0004780	1	1
OG0004781	0	0
OG0004782	0	0
OG0004783	0	0
OG0004784	0	0
OG0004785	1	1
OG0004786	1	1
OG0004787	0	0
OG0004788	0	0
OG0004789	1	1
OG0004790	0	0
OG0004791	0	0
OG0004792	0	0
OG0004793	0	0
OG0004794	0	0
OG0004795	0	0
OG0004796	0	0
OG0004797	0	0
OG0004798	0	0
OG0004799	0	0
OG0004800	1	1
OG0004801	0	0
OG0004802	0	0
OG0004803	0	0
OG0004804	0	0
OG0004805	0	0
OG0004806	0	0
OG0004807	0	0
OG0004808	0	0
OG0004809	0	0
OG0004810	0	0
OG0004811	0	0
OG0004812	1	0
OG0004813	0	0
OG0004814	0	0
OG0004815	0	0
OG0004816	1	0
OG0004817	1	1
OG0004818	0	0
OG0004819	0	0
OG0004820	0	0
OG0004821	0	0
OG0004822	1	0
OG0004823	0	0
OG0004824	0	0
OG0004825	1	1
OG0004826	10	3
OG0004827	0	0
OG0004828	0	0
OG0004829	0	0
OG0004830	0	0
OG0004831	0	0
OG0004832	0	0
OG0004833	0	0
OG0004834	0	0
OG0004835	1	1
OG0004836	0	0
OG0004837	0	0
OG0004838	0	0
OG0004839	0	0
OG0004840	1	1
OG0004841	0	0
OG0004842	0	0
OG0004843	0	0
OG0004844	0	0
OG0004845	0	0
OG0004846	2	1
OG0004847	1	0
OG0004848	0	0
OG0004849	0	0
OG0004850	1	1
OG0004851	0	0
OG0004852	0	0
OG0004853	4	3
OG0004854	2	1
OG0004855	1	1
OG0004856	0	0
OG0004857	0	0
OG0004858	0	0
OG0004859	0	0
OG0004860	0	0
OG0004861	0	0
OG0004862	0	0
