	Acrchr1.aa	AcreTS7_1.aa	Annmae1.aa	Anntru1.aa	Astsub1.aa	Beaba1.aa	Bisma1.aa	Bismed1.aa	Chafu1.aa	Chame1.aa	Chathe1.aa	Colab1.aa	Colac2.aa	Colca1.aa	Colce1.aa	Colch1.aa	Colco1.aa	Colcu1.aa	Coler1.aa	Colfa1.aa	Colfi1.aa	Colgl1.aa	Colgo1.aa	Colhig2.aa	Colin1.aa	Collu1.aa	Colme1.aa	Colna1.aa	Colny1.aa	Color1.aa	Colorb1.aa	Colpa1.aa	Colph1.aa	Colsa1.aa	Colsi1.aa	Colso1.aa	Colsu1.aa	Colsub1.aa	Colta1.aa	Colto1.aa	Colzo1.aa	Cormi1.aa	Crypa2.aa	CtCBS203_1.aa	Cylol1.aa	Daces1.aa	Dacma1.aa	Dalba1.aa	Dalloc1.aa	Dalver1.aa	Diaam1.aa	Escweb1.aa	Fusgr1.aa	Fusoxalb1.aa	Fustri1.aa	Fusve2.aa	GCA_001625285.1.aa	GCA_004920355.1.aa	GCA_005350895.1.aa	GCA_006783085.1.aa	GCA_009806415.1.aa	GCA_011075155.1.aa	GCA_011800055.1.aa	GCA_014235925.1.aa	GCA_014235935.1.aa	GCA_014235945.1.aa	GCA_014235955.1.aa	GCA_018906675.1.aa	GCA_018906765.1.aa	GCA_018907675.1.aa	GCA_025327125.1.aa	GCA_025327135.1.aa	GCA_025327145.1.aa	GCA_025327155.1.aa	GCA_025327165.1.aa	GCA_025328335.1.aa	GCA_025328345.1.aa	GCA_025328355.1.aa	GCA_025328625.1.aa	GCA_025328985.1.aa	GCA_025329375.1.aa	GCA_025329385.1.aa	GCA_025330015.1.aa	GCA_027942835.1.aa	GCA_027942845.1.aa	GCA_029226625.1.aa	Grocl1.aa	Hyparg1.aa	Hypcer1.aa	Hypfus1.aa	Ilyeu1.aa	KdCBS826_1.aa	Metac1.aa	Micbo1.aa	Mictri1.aa	Neodi1.aa	Ophpic1.aa	Plecuc1.aa	Porpun1.aa	Pseve2.aa	Roster1.aa	Seagrass.aa	Sorhu1.aa	Stael1.aa	Triaru1.aa	Trihar1.aa	Tripar1.aa	Truan1.aa	Verda1.aa	Xyllon1.aa
'2	1.2	1.6	1.7	1.6	2.1	1.7	1.8	1.5	1.5	1.8	0.7	2.9	2.6	2.3	2.6	1.7	2.7	2.7	2.4	2.3	2.5	3.0	2.9	2.6	2.1	2.7	2.7	2.2	2.7	2.3	2.2	2.6	2.6	2.6	2.5	2.4	2.5	2.3	2.8	2.3	2.4	1.4	1.9	1.9	2.9	3.2	3.4	1.5	1.6	1.5	2.0	0.7	2.5	3.4	2.7	5.3	2.2	2.3	2.1	2.0	3.1	2.6	2.8	2.7	2.8	2.8	2.8	2.3	2.3	2.4	2.3	2.3	2.3	2.3	2.3	2.2	2.3	2.2	2.3	2.2	2.2	2.2	2.3	2.7	2.3	2.1	1.1	1.9	1.9	1.9	3.6	2.0	1.7	2.3	2.7	2.2	1.2	2.3	1.4	2.0	1.6	2.1	1.4	2.5	1.8	2.2	1.4	2.7	1.7	2.1
'3	0.2	0.4	0.5	0.5	0.7	0.5	0.5	0.5	0.4	0.5	0.1	0.9	0.8	0.7	0.7	0.5	0.8	0.8	0.7	0.6	0.8	0.8	1.0	0.7	0.6	0.8	0.8	0.6	0.8	0.7	0.7	0.8	0.8	0.8	0.7	0.6	0.7	0.6	0.9	0.7	0.7	0.3	0.5	0.5	1.1	1.3	1.6	0.4	0.5	0.5	0.6	0.1	0.8	1.5	1.0	2.0	0.7	0.7	0.5	0.5	1.0	0.8	1.0	1.0	1.0	0.9	0.9	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.7	0.8	0.6	0.6	0.3	0.6	0.5	0.7	1.5	0.6	0.5	0.7	0.9	0.8	0.3	0.7	0.3	0.6	0.5	0.6	0.3	0.9	0.5	0.7	0.3	0.9	0.4	0.6
'4	0.1	0.2	0.2	0.2	0.3	0.2	0.2	0.1	0.2	0.2	0.0	0.4	0.3	0.2	0.3	0.2	0.4	0.3	0.3	0.2	0.3	0.5	0.4	0.3	0.2	0.3	0.3	0.2	0.3	0.2	0.3	0.4	0.3	0.3	0.3	0.2	0.3	0.3	0.4	0.3	0.2	0.2	0.2	0.2	0.7	0.7	0.8	0.2	0.2	0.2	0.2	0.0	0.3	0.8	0.5	1.1	0.3	0.3	0.2	0.2	0.5	0.3	0.5	0.4	0.4	0.4	0.4	0.3	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.4	0.3	0.4	0.4	0.3	0.4	0.4	0.3	0.4	0.2	0.2	0.1	0.3	0.3	0.3	0.8	0.2	0.2	0.3	0.5	0.4	0.1	0.4	0.1	0.3	0.2	0.2	0.2	0.4	0.2	0.3	0.1	0.4	0.2	0.3
'5	0.0	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.0	0.2	0.2	0.1	0.2	0.1	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.1	0.2	0.2	0.1	0.2	0.1	0.1	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.3	0.4	0.4	0.1	0.1	0.1	0.1	0.0	0.2	0.5	0.2	0.5	0.1	0.2	0.1	0.1	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.1	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.4	0.2	0.1	0.2	0.3	0.2	0.0	0.2	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.2	0.1	0.2	0.1	0.2
'6	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.3	0.3	0.4	0.0	0.0	0.0	0.1	0.0	0.1	0.3	0.1	0.4	0.1	0.1	0.0	0.1	0.2	0.1	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.3	0.1	0.0	0.1	0.2	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.2	0.0	0.1	0.0	0.1	0.0	0.1
'7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.2	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0
'8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	6834	7002	7926	7909	7380	6947	7824	7868	7092	7298	6027	11425	9129	9471	9229	7180	11969	11452	9558	9043	9098	8560	9605	9212	7601	10240	11740	9616	9279	9640	8302	11768	9533	8876	9143	9499	9591	8532	11902	7880	9462	6695	6979	7900	7777	7960	7982	7790	7941	7891	6955	5927	7863	8129	7981	6734	7848	8477	8061	8659	9354	8536	8792	8407	9638	9643	9543	11014	11034	11060	8317	8367	8312	8389	8361	8324	8308	8182	8327	8323	8190	8186	8342	8204	7989	10521	6282	7831	7804	7884	7881	7816	6796	7388	7366	7778	6573	7411	7241	7483	7833	8089	6782	7450	6952	7381	6974	7729	7212	7880
'2	940	1230	1276	1248	1620	1292	1354	1166	1172	1360	504	2206	2028	1756	2008	1346	2094	2074	1830	1770	1898	2282	2212	2032	1632	2060	2054	1724	2098	1804	1702	2006	2002	2026	1924	1842	1902	1760	2142	1780	1824	1072	1486	1438	2242	2476	2606	1190	1218	1154	1516	554	1950	2592	2090	4060	1690	1810	1584	1536	2410	1976	2172	2116	2138	2132	2130	1808	1806	1874	1764	1800	1764	1740	1804	1726	1740	1708	1772	1718	1698	1702	1802	2094	1750	1594	850	1496	1446	1456	2756	1516	1330	1810	2072	1720	902	1748	1090	1536	1256	1582	1086	1894	1418	1690	1052	2062	1344	1654
'3	252	516	543	576	798	618	579	534	435	588	117	1086	963	753	795	618	948	954	831	642	897	981	1113	825	735	954	936	639	957	807	798	936	939	885	858	750	771	693	1047	822	774	399	561	627	1323	1494	1830	474	561	525	717	72	882	1719	1101	2352	798	759	600	579	1149	963	1170	1155	1185	1059	1074	792	804	795	810	759	813	864	759	858	804	858	828	834	852	837	819	912	741	675	312	672	618	765	1719	648	561	855	1092	927	312	825	333	741	633	717	381	1086	621	822	354	1077	495	651
'4	96	288	252	288	452	268	328	200	244	276	52	632	504	356	468	284	564	512	432	308	484	704	600	472	364	528	504	356	516	380	400	544	496	500	512	364	440	456	548	464	352	232	340	340	1032	1060	1284	272	300	316	348	28	396	1284	696	1632	420	416	320	284	756	456	720	644	664	644	584	536	524	560	556	488	556	540	500	552	472	556	552	484	552	548	512	568	372	276	144	436	408	416	1200	376	296	472	792	564	128	556	200	408	308	360	244	664	272	540	192	600	284	412
'5	85	100	195	210	360	220	155	155	115	220	25	445	310	205	320	220	385	345	300	235	350	465	445	410	215	390	370	240	385	220	285	355	375	295	345	235	260	225	390	285	200	120	230	245	630	815	850	125	150	145	190	25	295	915	420	930	285	335	220	160	445	375	475	460	485	420	435	280	295	280	330	300	345	335	300	295	395	315	355	335	315	330	335	400	250	170	45	275	265	280	845	365	150	290	510	325	95	350	105	220	215	255	115	425	205	300	105	405	195	310
'6	42	84	150	144	234	120	126	72	66	156	0	234	240	174	240	156	168	246	180	204	240	354	270	228	264	174	246	162	198	180	180	162	180	192	186	186	198	204	204	258	174	66	120	120	582	654	900	72	102	102	120	6	174	582	312	840	294	198	72	120	390	198	354	312	264	246	258	210	198	210	294	276	240	282	276	276	246	246	240	270	222	216	258	336	198	144	54	222	180	162	660	162	96	216	402	228	66	198	36	138	126	168	132	384	102	282	72	258	96	168
'7	14	63	84	77	84	63	70	35	77	84	0	217	133	105	189	63	161	175	119	119	126	336	175	126	196	154	133	63	189	112	133	182	154	154	161	140	140	56	175	175	105	77	126	91	350	574	588	21	42	35	77	0	133	574	175	455	175	112	84	56	315	175	287	224	210	217	175	119	126	119	161	203	217	168	189	154	154	224	210	210	182	175	189	175	119	70	14	126	119	77	525	161	49	77	294	140	42	147	84	105	70	98	91	203	105	161	42	259	56	119
'8	16	40	24	40	104	80	64	40	48	48	0	112	48	80	112	64	72	104	56	80	32	200	104	192	112	88	72	64	80	88	80	88	144	96	48	160	56	72	88	112	112	40	64	80	296	384	536	16	40	24	96	0	104	448	160	368	144	144	120	104	168	64	200	168	208	192	184	64	64	80	80	104	104	88	136	160	128	120	112	120	136	112	120	184	32	56	16	88	48	72	472	104	40	120	160	128	56	128	32	96	24	88	64	216	56	128	8	120	16	72
'9	27	9	27	27	36	72	45	27	36	63	9	126	72	54	81	72	108	72	63	45	72	108	108	72	108	90	99	36	90	117	63	117	54	54	108	54	81	45	117	54	45	36	72	54	144	360	522	45	27	54	54	0	45	369	126	351	135	117	9	18	117	54	126	144	162	108	126	45	63	54	99	90	81	126	63	108	63	81	108	99	108	72	144	90	81	18	27	117	72	99	405	63	27	90	171	72	45	63	45	117	18	63	9	153	72	171	0	117	9	90
'10	10	20	40	50	100	90	30	10	20	30	0	60	100	20	80	10	40	100	80	40	80	100	130	70	40	60	90	40	60	30	30	40	70	60	60	40	90	50	110	40	10	30	40	30	160	260	360	40	30	0	20	0	90	240	50	320	60	50	60	10	110	100	130	180	70	110	70	90	90	80	60	80	70	40	90	20	60	40	50	70	80	120	20	60	10	30	10	60	60	60	400	70	20	30	170	80	10	60	20	50	10	20	40	100	20	50	20	70	50	90
11-15	23	0	130	112	307	119	157	51	87	115	0	309	218	110	179	98	237	276	93	151	190	254	183	183	190	226	247	86	224	131	179	206	123	190	212	109	111	153	279	206	121	63	167	87	389	875	1096	77	90	120	47	0	99	715	204	599	139	124	109	110	449	203	335	347	352	235	225	197	195	220	235	232	228	220	200	305	219	234	225	218	188	203	244	237	147	61	38	235	131	188	797	148	72	126	368	160	60	134	63	62	145	134	103	455	89	294	24	307	26	144
16-20	19	16	38	91	122	20	0	36	37	70	16	88	55	108	52	71	84	39	93	86	37	106	84	53	77	67	67	76	75	77	72	67	103	71	52	66	54	54	88	37	108	35	76	78	143	353	545	20	20	20	70	0	37	411	102	310	74	103	65	37	124	87	124	173	160	121	159	69	88	91	99	50	51	82	82	16	68	71	66	48	49	49	35	124	88	69	0	213	120	182	445	88	34	52	183	54	19	89	33	106	51	36	38	70	52	101	0	106	17	140
21-50	0	23	86	106	272	48	72	0	0	90	21	178	131	72	156	74	122	244	145	170	183	248	230	195	116	191	124	84	100	172	76	173	193	181	145	120	139	87	133	222	123	54	224	50	367	627	802	21	67	72	22	0	76	480	141	327	235	233	22	28	438	193	293	695	316	275	269	135	114	116	130	128	128	130	128	129	123	131	131	131	129	133	124	143	22	77	51	248	126	94	703	286	72	125	341	120	0	94	22	56	120	46	152	169	0	141	31	271	24	231
51-100	0	0	0	0	0	0	0	0	0	0	0	0	53	0	51	0	52	0	0	0	0	55	0	0	58	0	51	0	53	0	0	0	52	0	52	52	0	0	51	0	0	0	0	0	139	54	201	0	0	0	0	0	0	297	0	117	124	0	0	0	132	0	61	151	85	63	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	55	65	0	0	65	0	0	0	0	0	0	0	0	66	222	54	0	0	0	0	60
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	122	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
