Identifier    	Cytoplasmic effector	Apoplastic effector 	Non-effector        	Prediction          
SGCOL_002954-T1 	-                   	-                   	Y (0.854)           	Non-effector
SGCOL_002955-T1 	-                   	-                   	Y (0.883)           	Non-effector
SGCOL_002968-T1 	-                   	-                   	Y (0.898)           	Non-effector
SGCOL_002970-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCOL_002972-T1 	Y (0.534)           	Y (0.831)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_002977-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_002979-T1 	-                   	Y (0.665)           	-                   	Apoplastic effector
SGCOL_002983-T1 	-                   	-                   	Y (0.598)           	Non-effector
SGCOL_002997-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_003001-T1 	-                   	Y (0.811)           	-                   	Apoplastic effector
SGCOL_003003-T1 	-                   	-                   	Y (0.638)           	Non-effector
SGCOL_003006-T1 	Y (0.876)           	-                   	-                   	Cytoplasmic effector
SGCOL_003008-T1 	-                   	-                   	Y (0.975)           	Non-effector
SGCOL_003018-T1 	-                   	-                   	Y (0.568)           	Non-effector
SGCOL_003028-T1 	-                   	-                   	Y (0.687)           	Non-effector
SGCOL_003029-T1 	-                   	-                   	Y (0.573)           	Non-effector
SGCOL_003044-T1 	-                   	-                   	Y (0.897)           	Non-effector
SGCOL_003047-T1 	-                   	-                   	Y (0.982)           	Non-effector
SGCOL_003058-T1 	-                   	Y (0.653)           	-                   	Apoplastic effector
SGCOL_003062-T1 	Y (0.777)           	Y (0.89)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_003074-T1 	-                   	Y (0.703)           	-                   	Apoplastic effector
SGCOL_003079-T1 	-                   	-                   	Y (0.771)           	Non-effector
SGCOL_003136-T1 	-                   	Y (0.588)           	-                   	Apoplastic effector
SGCOL_003138-T1 	-                   	-                   	Y (0.524)           	Non-effector
SGCOL_003139-T1 	-                   	-                   	Y (0.712)           	Non-effector
SGCOL_003141-T1 	-                   	-                   	Y (0.764)           	Non-effector
SGCOL_003164-T1 	-                   	-                   	Y (0.86)           	Non-effector
SGCOL_003167-T1 	-                   	Y (0.514)           	-                   	Apoplastic effector
SGCOL_003171-T1 	-                   	-                   	Y (0.783)           	Non-effector
SGCOL_003176-T1 	-                   	-                   	Y (0.804)           	Non-effector
SGCOL_003177-T1 	-                   	-                   	Y (0.672)           	Non-effector
SGCOL_003186-T1 	-                   	Y (0.946)           	-                   	Apoplastic effector
SGCOL_003187-T1 	Y (0.903)           	Y (0.817)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_003191-T1 	-                   	Y (0.528)           	-                   	Apoplastic effector
SGCOL_003194-T1 	-                   	Y (0.617)           	-                   	Apoplastic effector
SGCOL_003195-T1 	-                   	-                   	Y (0.873)           	Non-effector
SGCOL_003196-T1 	-                   	-                   	Y (0.925)           	Non-effector
SGCOL_003217-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_003218-T1 	-                   	Y (0.577)           	-                   	Apoplastic effector
SGCOL_003232-T1 	-                   	-                   	Y (0.743)           	Non-effector
SGCOL_003238-T1 	-                   	-                   	Y (0.716)           	Non-effector
SGCOL_003270-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_003275-T1 	Y (0.543)           	Y (0.799)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_003281-T1 	Y (0.503)           	Y (0.931)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_003321-T1 	-                   	-                   	Y (0.919)           	Non-effector
SGCOL_003331-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_003355-T1 	-                   	-                   	Y (0.769)           	Non-effector
SGCOL_003408-T1 	-                   	-                   	Y (0.506)           	Non-effector
SGCOL_003409-T1 	-                   	-                   	Y (0.73)           	Non-effector
SGCOL_003410-T1 	-                   	-                   	Y (0.961)           	Non-effector
SGCOL_003450-T1 	-                   	-                   	Y (0.792)           	Non-effector
SGCOL_003458-T1 	Y (0.802)           	-                   	-                   	Cytoplasmic effector
SGCOL_003464-T1 	-                   	-                   	Y (0.635)           	Non-effector
SGCOL_003470-T1 	-                   	-                   	Y (0.603)           	Non-effector
SGCOL_003472-T1 	Y (0.664)           	-                   	-                   	Cytoplasmic effector
SGCOL_003473-T1 	-                   	Y (0.503)           	-                   	Apoplastic effector
SGCOL_003479-T1 	Y (0.595)           	-                   	-                   	Cytoplasmic effector
SGCOL_003509-T1 	-                   	-                   	Y (0.581)           	Non-effector
SGCOL_003515-T1 	-                   	-                   	Y (0.744)           	Non-effector
SGCOL_003526-T1 	-                   	-                   	Y (0.627)           	Non-effector
SGCOL_003527-T1 	-                   	Y (0.769)           	-                   	Apoplastic effector
SGCOL_003544-T1 	-                   	Y (0.554)           	-                   	Apoplastic effector
SGCOL_003597-T1 	-                   	-                   	Y (0.71)           	Non-effector
SGCOL_003598-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCOL_003639-T1 	-                   	-                   	Y (0.71)           	Non-effector
SGCOL_003642-T1 	-                   	-                   	Y (0.821)           	Non-effector
SGCOL_003647-T1 	-                   	-                   	Y (0.723)           	Non-effector
SGCOL_003648-T1 	Y (0.846)           	-                   	-                   	Cytoplasmic effector
SGCOL_003650-T1 	-                   	Y (0.797)           	-                   	Apoplastic effector
SGCOL_003655-T1 	-                   	Y (0.503)           	-                   	Apoplastic effector
SGCOL_003659-T1 	Y (0.684)           	-                   	-                   	Cytoplasmic effector
SGCOL_003667-T1 	-                   	-                   	Y (0.885)           	Non-effector
SGCOL_003669-T1 	-                   	-                   	Y (0.593)           	Non-effector
SGCOL_003675-T1 	-                   	-                   	Y (0.743)           	Non-effector
SGCOL_003676-T1 	-                   	-                   	Y (0.613)           	Non-effector
SGCOL_003678-T1 	-                   	-                   	Y (0.96)           	Non-effector
SGCOL_003684-T1 	Y (0.867)           	-                   	-                   	Cytoplasmic effector
SGCOL_003689-T1 	-                   	-                   	Y (0.805)           	Non-effector
SGCOL_003704-T1 	-                   	-                   	Y (0.841)           	Non-effector
SGCOL_003706-T1 	-                   	-                   	Y (0.791)           	Non-effector
SGCOL_003711-T1 	-                   	-                   	Y (0.954)           	Non-effector
SGCOL_003712-T1 	-                   	-                   	Y (0.825)           	Non-effector
SGCOL_003713-T1 	-                   	Y (0.799)           	-                   	Apoplastic effector
SGCOL_003726-T1 	-                   	Y (0.607)           	-                   	Apoplastic effector
SGCOL_003729-T1 	-                   	-                   	Y (0.82)           	Non-effector
SGCOL_003730-T1 	-                   	-                   	Y (0.739)           	Non-effector
SGCOL_003735-T1 	-                   	-                   	Y (0.602)           	Non-effector
SGCOL_003742-T1 	-                   	-                   	Y (0.823)           	Non-effector
SGCOL_003745-T1 	-                   	-                   	Y (0.935)           	Non-effector
SGCOL_003746-T1 	-                   	-                   	Y (0.642)           	Non-effector
SGCOL_003761-T1 	-                   	-                   	Y (0.71)           	Non-effector
SGCOL_003787-T1 	-                   	Y (0.791)           	-                   	Apoplastic effector
SGCOL_003790-T1 	Y (0.663)           	-                   	-                   	Cytoplasmic effector
SGCOL_003795-T1 	-                   	-                   	Y (0.867)           	Non-effector
SGCOL_003804-T1 	-                   	-                   	Y (0.92)           	Non-effector
SGCOL_003808-T1 	-                   	-                   	Y (0.855)           	Non-effector
SGCOL_003815-T1 	Y (0.72)           	-                   	-                   	Cytoplasmic effector
SGCOL_003823-T1 	-                   	Y (0.676)           	-                   	Apoplastic effector
SGCOL_003833-T1 	Y (0.581)           	-                   	-                   	Cytoplasmic effector
SGCOL_003843-T1 	-                   	Y (0.64)           	-                   	Apoplastic effector
SGCOL_003847-T1 	-                   	Y (0.677)           	-                   	Apoplastic effector
SGCOL_003848-T1 	-                   	Y (0.744)           	-                   	Apoplastic effector
SGCOL_003869-T1 	-                   	-                   	Y (0.745)           	Non-effector
SGCOL_003882-T1 	-                   	-                   	Y (0.921)           	Non-effector
SGCOL_003883-T1 	-                   	-                   	Y (0.888)           	Non-effector
SGCOL_003891-T1 	-                   	-                   	Y (0.691)           	Non-effector
SGCOL_003893-T1 	-                   	-                   	Y (0.525)           	Non-effector
SGCOL_003926-T1 	-                   	-                   	Y (0.658)           	Non-effector
SGCOL_003927-T1 	-                   	-                   	Y (0.76)           	Non-effector
SGCOL_003931-T1 	-                   	Y (0.718)           	-                   	Apoplastic effector
SGCOL_003945-T1 	-                   	-                   	Y (0.706)           	Non-effector
SGCOL_003958-T1 	-                   	-                   	Y (0.979)           	Non-effector
SGCOL_003972-T1 	-                   	-                   	Y (0.907)           	Non-effector
SGCOL_003975-T1 	-                   	-                   	Y (0.818)           	Non-effector
SGCOL_003980-T1 	-                   	-                   	Y (0.66)           	Non-effector
SGCOL_003996-T1 	-                   	-                   	Y (0.892)           	Non-effector
SGCOL_003997-T1 	-                   	Y (0.614)           	-                   	Apoplastic effector
SGCOL_003999-T1 	-                   	-                   	Y (0.94)           	Non-effector
SGCOL_004005-T1 	-                   	-                   	Y (0.817)           	Non-effector
SGCOL_004023-T1 	-                   	-                   	Y (0.524)           	Non-effector
SGCOL_004031-T1 	-                   	-                   	Y (0.597)           	Non-effector
SGCOL_004071-T1 	-                   	-                   	Y (0.888)           	Non-effector
SGCOL_004098-T1 	-                   	-                   	Y (0.566)           	Non-effector
SGCOL_004106-T1 	Y (0.722)           	Y (0.929)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_004107-T1 	-                   	-                   	Y (0.884)           	Non-effector
SGCOL_004115-T1 	-                   	Y (0.688)           	-                   	Apoplastic effector
SGCOL_004116-T1 	-                   	-                   	Y (0.87)           	Non-effector
SGCOL_004117-T1 	-                   	Y (0.739)           	-                   	Apoplastic effector
SGCOL_004156-T1 	-                   	-                   	Y (0.604)           	Non-effector
SGCOL_004165-T1 	-                   	Y (0.714)           	-                   	Apoplastic effector
SGCOL_004173-T1 	-                   	-                   	Y (0.714)           	Non-effector
SGCOL_004188-T1 	-                   	-                   	Y (0.856)           	Non-effector
SGCOL_004195-T1 	-                   	-                   	Y (0.775)           	Non-effector
SGCOL_004199-T1 	-                   	-                   	Y (0.626)           	Non-effector
SGCOL_004207-T1 	-                   	-                   	Y (0.733)           	Non-effector
SGCOL_004233-T1 	-                   	Y (0.674)           	-                   	Apoplastic effector
SGCOL_004242-T1 	-                   	-                   	Y (0.7)           	Non-effector
SGCOL_004245-T1 	-                   	-                   	Y (0.562)           	Non-effector
SGCOL_004246-T1 	-                   	-                   	Y (0.741)           	Non-effector
SGCOL_004247-T1 	-                   	-                   	Y (0.924)           	Non-effector
SGCOL_004270-T1 	-                   	-                   	Y (0.727)           	Non-effector
SGCOL_004284-T1 	-                   	-                   	Y (0.875)           	Non-effector
SGCOL_004285-T1 	-                   	-                   	Y (0.77)           	Non-effector
SGCOL_004303-T1 	-                   	-                   	Y (0.96)           	Non-effector
SGCOL_004307-T1 	-                   	Y (0.582)           	-                   	Apoplastic effector
SGCOL_004308-T1 	-                   	-                   	Y (0.8)           	Non-effector
SGCOL_004314-T1 	-                   	-                   	Y (0.888)           	Non-effector
SGCOL_004328-T1 	-                   	-                   	Y (0.621)           	Non-effector
SGCOL_004331-T1 	-                   	-                   	Y (0.984)           	Non-effector
SGCOL_004333-T1 	-                   	-                   	Y (0.796)           	Non-effector
SGCOL_004335-T1 	-                   	Y (0.768)           	-                   	Apoplastic effector
SGCOL_004337-T1 	-                   	Y (0.989)           	-                   	Apoplastic effector
SGCOL_004350-T1 	-                   	-                   	Y (0.762)           	Non-effector
SGCOL_004351-T1 	-                   	-                   	Y (0.895)           	Non-effector
SGCOL_004353-T1 	-                   	Y (0.527)           	-                   	Apoplastic effector
SGCOL_004354-T1 	-                   	-                   	Y (0.512)           	Non-effector
SGCOL_004359-T1 	-                   	-                   	Y (0.865)           	Non-effector
SGCOL_004360-T1 	-                   	Y (0.539)           	-                   	Apoplastic effector
SGCOL_004361-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_004366-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_004367-T1 	-                   	-                   	Y (0.944)           	Non-effector
SGCOL_004370-T1 	-                   	-                   	Y (0.803)           	Non-effector
SGCOL_004371-T1 	Y (0.549)           	-                   	-                   	Cytoplasmic effector
SGCOL_004381-T1 	-                   	-                   	Y (0.898)           	Non-effector
SGCOL_004389-T1 	-                   	Y (0.508)           	-                   	Apoplastic effector
SGCOL_004396-T1 	-                   	-                   	Y (0.529)           	Non-effector
SGCOL_004397-T1 	-                   	-                   	Y (0.59)           	Non-effector
SGCOL_004401-T1 	-                   	-                   	Y (0.639)           	Non-effector
SGCOL_004421-T1 	Y (0.554)           	Y (0.657)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_004437-T1 	-                   	Y (0.865)           	-                   	Apoplastic effector
SGCOL_004448-T1 	-                   	Y (0.726)           	-                   	Apoplastic effector
SGCOL_004449-T1 	-                   	Y (0.841)           	-                   	Apoplastic effector
SGCOL_004452-T1 	-                   	Y (0.718)           	-                   	Apoplastic effector
SGCOL_004454-T1 	Y (0.714)           	-                   	-                   	Cytoplasmic effector
SGCOL_004455-T1 	-                   	-                   	Y (0.967)           	Non-effector
SGCOL_004457-T1 	-                   	-                   	Y (0.669)           	Non-effector
SGCOL_004460-T1 	-                   	-                   	Y (0.774)           	Non-effector
SGCOL_004462-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_004466-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_004470-T1 	-                   	-                   	Y (0.929)           	Non-effector
SGCOL_004499-T1 	-                   	Y (0.593)           	-                   	Apoplastic effector
SGCOL_004500-T1 	Y (0.651)           	Y (0.701)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_004505-T1 	-                   	-                   	Y (0.866)           	Non-effector
SGCOL_004506-T1 	-                   	-                   	Y (0.707)           	Non-effector
SGCOL_004507-T1 	-                   	-                   	Y (0.654)           	Non-effector
SGCOL_004508-T1 	Y (0.865)           	-                   	-                   	Cytoplasmic effector
SGCOL_004509-T1 	-                   	-                   	Y (0.93)           	Non-effector
SGCOL_004517-T1 	-                   	-                   	Y (0.674)           	Non-effector
SGCOL_004520-T1 	Y (0.62)           	-                   	-                   	Cytoplasmic effector
SGCOL_004526-T1 	-                   	-                   	Y (0.505)           	Non-effector
SGCOL_004553-T1 	-                   	-                   	Y (0.882)           	Non-effector
SGCOL_004572-T1 	Y (0.784)           	-                   	-                   	Cytoplasmic effector
SGCOL_004580-T1 	-                   	-                   	Y (0.747)           	Non-effector
SGCOL_004598-T1 	-                   	-                   	Y (0.679)           	Non-effector
SGCOL_004609-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_004610-T1 	-                   	-                   	Y (0.571)           	Non-effector
SGCOL_004619-T1 	-                   	-                   	Y (0.853)           	Non-effector
SGCOL_004626-T1 	-                   	Y (0.524)           	-                   	Apoplastic effector
SGCOL_004653-T1 	Y (0.604)           	-                   	-                   	Cytoplasmic effector
SGCOL_004674-T1 	Y (0.892)           	-                   	-                   	Cytoplasmic effector
SGCOL_004675-T1 	-                   	Y (0.657)           	-                   	Apoplastic effector
SGCOL_004683-T1 	-                   	-                   	Y (0.511)           	Non-effector
SGCOL_004687-T1 	-                   	-                   	Y (0.728)           	Non-effector
SGCOL_004702-T1 	-                   	-                   	Y (0.619)           	Non-effector
SGCOL_004772-T1 	-                   	-                   	Y (0.894)           	Non-effector
SGCOL_004780-T1 	-                   	-                   	Y (0.604)           	Non-effector
SGCOL_004787-T1 	-                   	-                   	Y (0.673)           	Non-effector
SGCOL_004793-T1 	-                   	-                   	Y (0.858)           	Non-effector
SGCOL_004794-T1 	-                   	Y (0.877)           	-                   	Apoplastic effector
SGCOL_004797-T1 	-                   	-                   	Y (0.893)           	Non-effector
SGCOL_004800-T1 	-                   	Y (0.569)           	-                   	Apoplastic effector
SGCOL_004803-T1 	-                   	Y (0.687)           	-                   	Apoplastic effector
SGCOL_004805-T1 	-                   	-                   	Y (0.589)           	Non-effector
SGCOL_004806-T1 	-                   	-                   	Y (0.87)           	Non-effector
SGCOL_004807-T1 	-                   	-                   	Y (0.877)           	Non-effector
SGCOL_004808-T1 	-                   	-                   	Y (0.813)           	Non-effector
SGCOL_004810-T1 	-                   	Y (0.76)           	-                   	Apoplastic effector
SGCOL_004815-T1 	-                   	-                   	Y (0.605)           	Non-effector
SGCOL_004828-T1 	-                   	Y (0.525)           	-                   	Apoplastic effector
SGCOL_004840-T1 	-                   	Y (0.785)           	-                   	Apoplastic effector
SGCOL_004844-T1 	-                   	-                   	Y (0.755)           	Non-effector
SGCOL_004845-T1 	-                   	-                   	Y (0.918)           	Non-effector
SGCOL_004856-T1 	-                   	Y (0.792)           	-                   	Apoplastic effector
SGCOL_004863-T1 	Y (0.931)           	-                   	-                   	Cytoplasmic effector
SGCOL_004865-T1 	-                   	-                   	Y (0.575)           	Non-effector
SGCOL_004866-T1 	-                   	-                   	Y (0.921)           	Non-effector
SGCOL_004871-T1 	-                   	Y (0.579)           	-                   	Apoplastic effector
SGCOL_004879-T1 	-                   	-                   	Y (0.918)           	Non-effector
SGCOL_004881-T1 	-                   	-                   	Y (0.765)           	Non-effector
SGCOL_004882-T1 	Y (0.643)           	-                   	-                   	Cytoplasmic effector
SGCOL_004884-T1 	-                   	-                   	Y (0.701)           	Non-effector
SGCOL_004887-T1 	-                   	-                   	Y (0.518)           	Non-effector
SGCOL_004888-T1 	-                   	-                   	Y (0.516)           	Non-effector
SGCOL_004892-T1 	-                   	-                   	Y (0.855)           	Non-effector
SGCOL_004897-T1 	-                   	-                   	Y (0.556)           	Non-effector
SGCOL_004898-T1 	-                   	-                   	Y (0.867)           	Non-effector
SGCOL_004900-T1 	-                   	Y (0.731)           	-                   	Apoplastic effector
SGCOL_004901-T1 	Y (0.902)           	Y (0.78)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_004902-T1 	-                   	Y (0.685)           	-                   	Apoplastic effector
SGCOL_004903-T1 	-                   	-                   	Y (0.746)           	Non-effector
SGCOL_004905-T1 	-                   	-                   	Y (0.871)           	Non-effector
SGCOL_004908-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCOL_004924-T1 	-                   	-                   	Y (0.905)           	Non-effector
SGCOL_004925-T1 	-                   	Y (0.705)           	-                   	Apoplastic effector
SGCOL_004926-T1 	-                   	Y (0.72)           	-                   	Apoplastic effector
SGCOL_004970-T1 	-                   	-                   	Y (0.565)           	Non-effector
SGCOL_004998-T1 	Y (0.551)           	-                   	-                   	Cytoplasmic effector
SGCOL_005026-T1 	-                   	Y (0.691)           	-                   	Apoplastic effector
SGCOL_005039-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_005040-T1 	Y (0.553)           	-                   	-                   	Cytoplasmic effector
SGCOL_005041-T1 	-                   	-                   	Y (0.737)           	Non-effector
SGCOL_005042-T1 	Y (0.587)           	-                   	-                   	Cytoplasmic effector
SGCOL_005045-T1 	-                   	Y (0.754)           	-                   	Apoplastic effector
SGCOL_005046-T1 	-                   	-                   	Y (0.955)           	Non-effector
SGCOL_005064-T1 	-                   	-                   	Y (0.85)           	Non-effector
SGCOL_005071-T1 	-                   	-                   	Y (0.921)           	Non-effector
SGCOL_005073-T1 	-                   	-                   	Y (0.588)           	Non-effector
SGCOL_005075-T1 	-                   	Y (0.677)           	-                   	Apoplastic effector
SGCOL_005077-T1 	-                   	Y (0.753)           	-                   	Apoplastic effector
SGCOL_005078-T1 	-                   	-                   	Y (0.819)           	Non-effector
SGCOL_005091-T1 	-                   	-                   	Y (0.837)           	Non-effector
SGCOL_005092-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_005103-T1 	-                   	Y (0.632)           	-                   	Apoplastic effector
SGCOL_005105-T1 	-                   	-                   	Y (0.867)           	Non-effector
SGCOL_005147-T1 	Y (0.663)           	-                   	-                   	Cytoplasmic effector
SGCOL_005166-T1 	-                   	Y (0.603)           	-                   	Apoplastic effector
SGCOL_005175-T1 	-                   	Y (0.586)           	-                   	Apoplastic effector
SGCOL_005193-T1 	-                   	-                   	Y (0.901)           	Non-effector
SGCOL_005194-T1 	-                   	-                   	Y (0.967)           	Non-effector
SGCOL_005202-T1 	-                   	-                   	Y (0.763)           	Non-effector
SGCOL_005204-T1 	-                   	-                   	Y (0.895)           	Non-effector
SGCOL_005210-T1 	-                   	Y (0.51)           	-                   	Apoplastic effector
SGCOL_005212-T1 	-                   	-                   	Y (0.854)           	Non-effector
SGCOL_005261-T1 	-                   	-                   	Y (0.588)           	Non-effector
SGCOL_005265-T1 	-                   	-                   	Y (0.962)           	Non-effector
SGCOL_005293-T1 	-                   	-                   	Y (0.919)           	Non-effector
SGCOL_005313-T1 	Y (0.668)           	-                   	-                   	Cytoplasmic effector
SGCOL_005314-T1 	Y (0.767)           	-                   	-                   	Cytoplasmic effector
SGCOL_005315-T1 	-                   	-                   	Y (0.597)           	Non-effector
SGCOL_005341-T1 	Y (0.605)           	-                   	-                   	Cytoplasmic effector
SGCOL_005362-T1 	-                   	-                   	Y (0.925)           	Non-effector
SGCOL_005378-T1 	-                   	-                   	Y (0.907)           	Non-effector
SGCOL_005394-T1 	-                   	-                   	Y (0.619)           	Non-effector
SGCOL_005397-T1 	-                   	-                   	Y (0.831)           	Non-effector
SGCOL_005419-T1 	-                   	-                   	Y (0.933)           	Non-effector
SGCOL_005422-T1 	Y (0.926)           	-                   	-                   	Cytoplasmic effector
SGCOL_005432-T1 	-                   	-                   	Y (0.88)           	Non-effector
SGCOL_005441-T1 	Y (0.516)           	-                   	-                   	Cytoplasmic effector
SGCOL_005442-T1 	-                   	Y (0.793)           	-                   	Apoplastic effector
SGCOL_005460-T1 	-                   	-                   	Y (0.576)           	Non-effector
SGCOL_005465-T1 	-                   	-                   	Y (0.793)           	Non-effector
SGCOL_005469-T1 	-                   	Y (0.707)           	-                   	Apoplastic effector
SGCOL_005476-T1 	-                   	-                   	Y (0.768)           	Non-effector
SGCOL_005477-T1 	-                   	-                   	Y (0.571)           	Non-effector
SGCOL_005480-T1 	-                   	-                   	Y (0.853)           	Non-effector
SGCOL_005483-T1 	-                   	-                   	Y (0.913)           	Non-effector
SGCOL_005484-T1 	-                   	-                   	Y (0.879)           	Non-effector
SGCOL_005489-T1 	-                   	Y (0.56)           	-                   	Apoplastic effector
SGCOL_005503-T1 	-                   	-                   	Y (0.924)           	Non-effector
SGCOL_005504-T1 	Y (0.718)           	Y (0.703)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_005508-T1 	-                   	-                   	Y (0.77)           	Non-effector
SGCOL_005510-T1 	-                   	-                   	Y (0.791)           	Non-effector
SGCOL_005521-T1 	-                   	-                   	Y (0.714)           	Non-effector
SGCOL_005539-T1 	-                   	-                   	Y (0.683)           	Non-effector
SGCOL_005544-T1 	Y (0.933)           	Y (0.904)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_005545-T1 	-                   	-                   	Y (0.982)           	Non-effector
SGCOL_005567-T1 	-                   	-                   	Y (0.526)           	Non-effector
SGCOL_005624-T1 	-                   	-                   	Y (0.84)           	Non-effector
SGCOL_005647-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_005658-T1 	-                   	-                   	Y (0.987)           	Non-effector
SGCOL_005660-T1 	-                   	-                   	Y (0.956)           	Non-effector
SGCOL_005671-T1 	-                   	-                   	Y (0.586)           	Non-effector
SGCOL_005673-T1 	-                   	-                   	Y (0.698)           	Non-effector
SGCOL_005683-T1 	-                   	-                   	Y (0.566)           	Non-effector
SGCOL_005691-T1 	-                   	-                   	Y (0.929)           	Non-effector
SGCOL_005702-T1 	-                   	Y (0.76)           	-                   	Apoplastic effector
SGCOL_005705-T1 	-                   	-                   	Y (0.913)           	Non-effector
SGCOL_005708-T1 	-                   	-                   	Y (0.694)           	Non-effector
SGCOL_005709-T1 	-                   	Y (0.663)           	-                   	Apoplastic effector
SGCOL_005718-T1 	-                   	-                   	Y (0.533)           	Non-effector
SGCOL_005721-T1 	-                   	-                   	Y (0.852)           	Non-effector
SGCOL_005724-T1 	Y (0.553)           	-                   	-                   	Cytoplasmic effector
SGCOL_005725-T1 	-                   	-                   	Y (0.848)           	Non-effector
SGCOL_005726-T1 	Y (0.739)           	Y (0.669)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_005734-T1 	-                   	-                   	Y (0.603)           	Non-effector
SGCOL_005766-T1 	-                   	-                   	Y (0.761)           	Non-effector
SGCOL_005798-T1 	-                   	-                   	Y (0.838)           	Non-effector
SGCOL_005811-T1 	-                   	-                   	Y (0.926)           	Non-effector
SGCOL_005820-T1 	-                   	-                   	Y (0.821)           	Non-effector
SGCOL_005834-T1 	-                   	-                   	Y (0.95)           	Non-effector
SGCOL_005849-T1 	Y (0.577)           	-                   	-                   	Cytoplasmic effector
SGCOL_005852-T1 	-                   	Y (0.883)           	-                   	Apoplastic effector
SGCOL_005853-T1 	-                   	Y (0.669)           	-                   	Apoplastic effector
SGCOL_005855-T1 	-                   	-                   	Y (0.893)           	Non-effector
SGCOL_005893-T1 	-                   	Y (0.501)           	-                   	Apoplastic effector
SGCOL_005905-T1 	-                   	Y (0.571)           	-                   	Apoplastic effector
SGCOL_005921-T1 	-                   	-                   	Y (0.851)           	Non-effector
SGCOL_005922-T1 	-                   	-                   	Y (0.668)           	Non-effector
SGCOL_005925-T1 	-                   	-                   	Y (0.518)           	Non-effector
SGCOL_005946-T1 	-                   	Y (0.799)           	-                   	Apoplastic effector
SGCOL_005948-T1 	-                   	-                   	Y (0.884)           	Non-effector
SGCOL_005957-T1 	-                   	-                   	Y (0.56)           	Non-effector
SGCOL_005958-T1 	-                   	-                   	Y (0.629)           	Non-effector
SGCOL_005962-T1 	-                   	-                   	Y (0.565)           	Non-effector
SGCOL_005963-T1 	-                   	Y (0.776)           	-                   	Apoplastic effector
SGCOL_005969-T1 	-                   	Y (0.76)           	-                   	Apoplastic effector
SGCOL_005970-T1 	-                   	-                   	Y (0.742)           	Non-effector
SGCOL_005985-T1 	-                   	-                   	Y (0.526)           	Non-effector
SGCOL_005987-T1 	-                   	Y (0.547)           	-                   	Apoplastic effector
SGCOL_005988-T1 	-                   	Y (0.964)           	-                   	Apoplastic effector
SGCOL_005995-T1 	-                   	-                   	Y (0.635)           	Non-effector
SGCOL_006010-T1 	-                   	-                   	Y (0.768)           	Non-effector
SGCOL_006022-T1 	-                   	-                   	Y (0.601)           	Non-effector
SGCOL_006023-T1 	-                   	-                   	Y (0.566)           	Non-effector
SGCOL_006041-T1 	Y (0.514)           	Y (0.796)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_006061-T1 	-                   	-                   	Y (0.756)           	Non-effector
SGCOL_006064-T1 	-                   	-                   	Y (0.663)           	Non-effector
SGCOL_006093-T1 	-                   	-                   	Y (0.986)           	Non-effector
SGCOL_006105-T1 	-                   	-                   	Y (0.864)           	Non-effector
SGCOL_006108-T1 	-                   	-                   	Y (0.892)           	Non-effector
SGCOL_006141-T1 	-                   	Y (0.568)           	-                   	Apoplastic effector
SGCOL_006154-T1 	-                   	-                   	Y (0.505)           	Non-effector
SGCOL_006162-T1 	-                   	-                   	Y (0.535)           	Non-effector
SGCOL_006169-T1 	-                   	-                   	Y (0.795)           	Non-effector
SGCOL_006175-T1 	-                   	-                   	Y (0.873)           	Non-effector
SGCOL_006176-T1 	-                   	-                   	Y (0.76)           	Non-effector
SGCOL_006181-T1 	-                   	-                   	Y (0.822)           	Non-effector
SGCOL_006185-T1 	-                   	Y (0.643)           	-                   	Apoplastic effector
SGCOL_006189-T1 	-                   	-                   	Y (0.608)           	Non-effector
SGCOL_006190-T1 	-                   	-                   	Y (0.961)           	Non-effector
SGCOL_006199-T1 	-                   	-                   	Y (0.625)           	Non-effector
